name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2
SE Bond,4f629497,SE Bond,SE Bond,36326.0,
B Sumanth,f4f0fafd,B Sumanth,B Sumanth,253798.0,
DJ Harper,0ec08b27,DJ Harper,DJ Harper,5578.0,
A Kumble,0c2730df,A Kumble,A Kumble,30176.0,
Anirudh Singh,7bb62642,Anirudh Singh,Anirudh Singh,26252.0,
CRD Fernando,342d8ade,CRD Fernando,CRD Fernando,48835.0,
ML Hayden,d8699ab7,ML Hayden,ML Hayden,5616.0,
SN Bandekar,350528bb,SN Bandekar,SN Bandekar,26846.0,
NJ Rimmington,6042bf26,NJ Rimmington,NJ Rimmington,7443.0,
SB Styris,57efa3be,SB Styris,SB Styris,38407.0,
R Ninan,ce4cc4d5,R Ninan,R Ninan,353669.0,
S Venkataraghavan,12453319,S Venkataraghavan,S Venkataraghavan,35656.0,
AG Paunikar,3a02626a,AG Paunikar,AG Paunikar,324444.0,
SA Asnodkar,ae091d39,SA Asnodkar,SA Asnodkar,26782.0,
Joginder Sharma,9f961c14,Joginder Sharma,Joginder Sharma,29976.0,
BJ Haddin,b0c772ee,BJ Haddin,BJ Haddin,5560.0,
VVS Laxman,de8cce37,VVS Laxman,VVS Laxman,30750.0,
Kamran Khan,6ef60d3a,Kamran Khan,Kamran Khan,391121.0,
TD Paine,5748e866,TD Paine,TD Paine,7252.0,
AL Hill,4165ced0,AL Hill,AL Hill,37274.0,
B Akhil,af7dadf7,B Akhil,B Akhil,26206.0,
NL McCullum,5673a3fc,NL McCullum,NL McCullum,37749.0,
GC Smith,72861603,GC Smith,GC Smith,47270.0,
JE Taylor,4180d897,JE Taylor,JE Taylor,53191.0,
I Malhotra,943fd425,I Malhotra,I Malhotra,31088.0,
L Ablish,8b9704ae,L Ablish,L Ablish,26236.0,
Sunny Singh,30e37810,Sunny Singh,Sunny Singh,35282.0,
S Randiv,f5f18a18,S Randiv,S Randiv,50438.0,
M Klinger,b970a03f,M Klinger,M Klinger,6161.0,
SB Wagh,dddca1d6,SB Wagh,SB Wagh,279552.0,
AA Kazi,16605a1b,AA Kazi,AA Kazi,422106.0,
AS Raut,c69a7b5c,AS Raut,AS Raut,230593.0,
MV Boucher,f3cb53a1,MV Boucher,MV Boucher,44111.0,
MJ Lumb,11df3dc8,MJ Lumb,MJ Lumb,16406.0,
AM Salvi,260fd380,AM Salvi,AM Salvi,34264.0,
S Sriram,64a4c383,S Sriram,S Sriram,34118.0,
TR Birt,d2d4bb0a,TR Birt,TR Birt,4292.0,
FY Fazal,c15e2193,FY Fazal,FY Fazal,28671.0,
ND Doshi,6ec424a9,ND Doshi,ND Doshi,12440.0,
